Stream API results:
Time: 2534000 ns
Received messages count:
Employee ID: 0, Received messages: 56
Employee ID: 1, Received messages: 59
Employee ID: 2, Received messages: 51
Employee ID: 3, Received messages: 54
Employee ID: 4, Received messages: 48
Employee ID: 5, Received messages: 55
Employee ID: 6, Received messages: 61
Employee ID: 7, Received messages: 62
Employee ID: 8, Received messages: 53
Employee ID: 9, Received messages: 54
Employee ID: 10, Received messages: 58
Employee ID: 11, Received messages: 58
Employee ID: 12, Received messages: 60
Employee ID: 13, Received messages: 51
Employee ID: 14, Received messages: 70
Employee ID: 15, Received messages: 62
Employee ID: 16, Received messages: 47
Employee ID: 17, Received messages: 57
Employee ID: 18, Received messages: 58
Employee ID: 19, Received messages: 72
Employee ID: 20, Received messages: 55
Employee ID: 21, Received messages: 60
Employee ID: 22, Received messages: 61
Employee ID: 23, Received messages: 57
Employee ID: 24, Received messages: 58
Employee ID: 25, Received messages: 46
Employee ID: 26, Received messages: 56
Employee ID: 27, Received messages: 74
Employee ID: 28, Received messages: 57
Employee ID: 29, Received messages: 46
Employee ID: 30, Received messages: 54
Employee ID: 31, Received messages: 64
Employee ID: 32, Received messages: 52
Employee ID: 33, Received messages: 73
Employee ID: 34, Received messages: 49
Employee ID: 35, Received messages: 54
Employee ID: 36, Received messages: 77
Employee ID: 37, Received messages: 60
Employee ID: 38, Received messages: 44
Employee ID: 39, Received messages: 64
Employee ID: 40, Received messages: 51
Employee ID: 41, Received messages: 54
Employee ID: 42, Received messages: 65
Employee ID: 43, Received messages: 68
Employee ID: 44, Received messages: 61
Employee ID: 45, Received messages: 51
Employee ID: 46, Received messages: 47
Employee ID: 47, Received messages: 50
Employee ID: 48, Received messages: 66
Employee ID: 49, Received messages: 49
