Collector results:
Time: 349200 ns
Received messages count:
Employee ID: 15250, Received messages: 0
Employee ID: 15251, Received messages: 0
Employee ID: 15252, Received messages: 0
Employee ID: 15253, Received messages: 0
Employee ID: 15254, Received messages: 0
Employee ID: 15255, Received messages: 0
Employee ID: 15256, Received messages: 0
Employee ID: 15257, Received messages: 0
Employee ID: 15258, Received messages: 0
Employee ID: 15259, Received messages: 0
Employee ID: 15260, Received messages: 0
Employee ID: 15261, Received messages: 0
Employee ID: 15262, Received messages: 0
Employee ID: 15263, Received messages: 0
Employee ID: 15264, Received messages: 0
Employee ID: 15265, Received messages: 0
Employee ID: 15266, Received messages: 0
Employee ID: 15267, Received messages: 0
Employee ID: 15268, Received messages: 0
Employee ID: 15269, Received messages: 0
Employee ID: 15270, Received messages: 0
Employee ID: 15271, Received messages: 0
Employee ID: 15272, Received messages: 0
Employee ID: 15273, Received messages: 0
Employee ID: 15274, Received messages: 0
Employee ID: 15275, Received messages: 0
Employee ID: 15276, Received messages: 0
Employee ID: 15277, Received messages: 0
Employee ID: 15278, Received messages: 0
Employee ID: 15279, Received messages: 0
Employee ID: 15280, Received messages: 0
Employee ID: 15281, Received messages: 0
Employee ID: 15282, Received messages: 0
Employee ID: 15283, Received messages: 0
Employee ID: 15284, Received messages: 0
Employee ID: 15285, Received messages: 0
Employee ID: 15286, Received messages: 0
Employee ID: 15287, Received messages: 0
Employee ID: 15288, Received messages: 0
Employee ID: 15289, Received messages: 0
Employee ID: 15290, Received messages: 0
Employee ID: 15291, Received messages: 0
Employee ID: 15292, Received messages: 0
Employee ID: 15293, Received messages: 0
Employee ID: 15294, Received messages: 0
Employee ID: 15295, Received messages: 0
Employee ID: 15296, Received messages: 0
Employee ID: 15297, Received messages: 0
Employee ID: 15298, Received messages: 0
Employee ID: 15299, Received messages: 0
