Iteration results:
Time: 331400 ns
Received messages count:
Employee ID: 12200, Received messages: 0
Employee ID: 12201, Received messages: 0
Employee ID: 12202, Received messages: 0
Employee ID: 12203, Received messages: 0
Employee ID: 12204, Received messages: 0
Employee ID: 12205, Received messages: 0
Employee ID: 12206, Received messages: 0
Employee ID: 12207, Received messages: 0
Employee ID: 12208, Received messages: 0
Employee ID: 12209, Received messages: 0
Employee ID: 12210, Received messages: 0
Employee ID: 12211, Received messages: 0
Employee ID: 12212, Received messages: 0
Employee ID: 12213, Received messages: 0
Employee ID: 12214, Received messages: 0
Employee ID: 12215, Received messages: 0
Employee ID: 12216, Received messages: 0
Employee ID: 12217, Received messages: 0
Employee ID: 12218, Received messages: 0
Employee ID: 12219, Received messages: 0
Employee ID: 12220, Received messages: 0
Employee ID: 12221, Received messages: 0
Employee ID: 12222, Received messages: 0
Employee ID: 12223, Received messages: 0
Employee ID: 12224, Received messages: 0
Employee ID: 12225, Received messages: 0
Employee ID: 12226, Received messages: 0
Employee ID: 12227, Received messages: 0
Employee ID: 12228, Received messages: 0
Employee ID: 12229, Received messages: 0
Employee ID: 12230, Received messages: 0
Employee ID: 12231, Received messages: 0
Employee ID: 12232, Received messages: 0
Employee ID: 12233, Received messages: 0
Employee ID: 12234, Received messages: 0
Employee ID: 12235, Received messages: 0
Employee ID: 12236, Received messages: 0
Employee ID: 12237, Received messages: 0
Employee ID: 12238, Received messages: 0
Employee ID: 12239, Received messages: 0
Employee ID: 12240, Received messages: 0
Employee ID: 12241, Received messages: 0
Employee ID: 12242, Received messages: 0
Employee ID: 12243, Received messages: 0
Employee ID: 12244, Received messages: 0
Employee ID: 12245, Received messages: 0
Employee ID: 12246, Received messages: 0
Employee ID: 12247, Received messages: 0
Employee ID: 12248, Received messages: 0
Employee ID: 12249, Received messages: 0
